分类,imageID,workName,authorName,dynasty,instName,公开版权
女,63dc9b0c-4070-11ed-9adc-c934f75048ef,红楼梦人物册页-002,喻兰,清代,上海博物馆,否
女,64111300-4070-11ed-9adc-c934f75048ef,探梅仕女图,费丹旭,清代,旅顺博物馆,否
女,64112c8c-4070-11ed-9adc-c934f75048ef,十二金钗图,费丹旭,清代,故宫博物院,否
女,641144e2-4070-11ed-9adc-c934f75048ef,十二金钗图,费丹旭,清代,故宫博物院,否
女,64115c84-4070-11ed-9adc-c934f75048ef,十二金钗图,费丹旭,清代,故宫博物院,否
女,6417a24c-4070-11ed-9adc-c934f75048ef,春宫图册.12帧.清.石城殷奇画册,殷奇,清代,波士顿艺术博物馆,否
女,641e1910-4070-11ed-9adc-c934f75048ef,人物屏-画册,任预,清代,上海博物馆,否
女,6421db90-4070-11ed-9adc-c934f75048ef,御制耕织图,爱新觉罗·玄烨,清代,哈佛大学,否
女,64261dea-4070-11ed-9adc-c934f75048ef,神仙故事图册,冷枚,清代,大英博物馆,是
女,64274eea-4070-11ed-9adc-c934f75048ef,冷枚白描罗汉.冷枚画.康煕56年,冷枚,清代,藏地不详,否
女,64279012-4070-11ed-9adc-c934f75048ef,十宫词图,冷枚,清代,,否
女,6427ad5e-4070-11ed-9adc-c934f75048ef,十宫词图,冷枚,清代,,否
女,6427d0fe-4070-11ed-9adc-c934f75048ef,十宫词图册,冷枚,清代,,否
女,6427f3d6-4070-11ed-9adc-c934f75048ef,十宫词图册,冷枚,清代,,否
女,6428e69c-4070-11ed-9adc-c934f75048ef,白描罗汉册　罗汉（九）,金廷标,清代,台北故宫博物院,是
女,64294560-4070-11ed-9adc-c934f75048ef,长至添线轴,金廷标,清代,台北故宫博物院,是
女,642a9be0-4070-11ed-9adc-c934f75048ef,绣线文殊大士像轴,裘王氏,清代,台北故宫博物院,是
女,642e26f2-4070-11ed-9adc-c934f75048ef,百苗图苗族生活图册,佚名,清代,,否
女,642ecc6a-4070-11ed-9adc-c934f75048ef,百苗图苗族生活图册,佚名,清代,,否
女,643253bc-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-3,佚名,清代,,否
女,64340446-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-3,佚名,清代,,否
女,6434bd64-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-3,佚名,清代,,否
女,6435a45e-4070-11ed-9adc-c934f75048ef,历代帝王贵妃大臣朝服像(苏麻喇姑)朝服,佚名,清代,,否
女,6435f576-4070-11ed-9adc-c934f75048ef,升平乐事图册　白象花灯,佚名,清代,台北故宫博物院,是
女,64361aa6-4070-11ed-9adc-c934f75048ef,雍正十二美人图(胤禛美人图),佚名,清代,,否
女,64363220-4070-11ed-9adc-c934f75048ef,雍正十二美人图(胤禛美人图),佚名,清代,,否
女,6436526e-4070-11ed-9adc-c934f75048ef,雍正十二美人图(胤禛美人图),佚名,清代,,否
女,643fa01c-4070-11ed-9adc-c934f75048ef,大悲咒出相图册(上),佚名,清代,,否
女,643fc31c-4070-11ed-9adc-c934f75048ef,大悲咒出相图册(上),佚名,清代,,否
女,6440c352-4070-11ed-9adc-c934f75048ef,门神人物达官贵人图册,佚名,清代,,否
女,6441033a-4070-11ed-9adc-c934f75048ef,门神人物达官贵人图册,佚名,清代,,否
女,6441d6f2-4070-11ed-9adc-c934f75048ef,无款士女图轴,佚名,清代,台北故宫博物院,是
女,644526fe-4070-11ed-9adc-c934f75048ef,孝贤纯皇后朝服像,佚名,清代,,否
女,6445627c-4070-11ed-9adc-c934f75048ef,市景三十六行.白描图.19世纪,佚名,清代,,否
女,6445c73a-4070-11ed-9adc-c934f75048ef,市景三十六行.白描图.19世纪,佚名,清代,,否
女,6445e4b8-4070-11ed-9adc-c934f75048ef,市景三十六行.白描图.19世纪,佚名,清代,,否
女,644cf1fe-4070-11ed-9adc-c934f75048ef,佛画罗汉九长老像立轴,佚名,清代,,否
女,644de1b8-4070-11ed-9adc-c934f75048ef,西厢记,佚名,清代,弗利尔美术馆,否
女,644edc26-4070-11ed-9adc-c934f75048ef,各种名笺.265种.经折装.清末民初(二),佚名,清代,,否
女,6452e640-4070-11ed-9adc-c934f75048ef,百苗图传统乐器演奏彩绘本21帧,佚名,清代,,否
女,6452fda6-4070-11ed-9adc-c934f75048ef,百苗图传统乐器演奏彩绘本21帧,佚名,清代,,否
女,64531502-4070-11ed-9adc-c934f75048ef,百苗图传统乐器演奏彩绘本21帧,佚名,清代,,否
女,64532d3a-4070-11ed-9adc-c934f75048ef,百苗图传统乐器演奏彩绘本21帧,佚名,清代,,否
女,64534464-4070-11ed-9adc-c934f75048ef,百苗图传统乐器演奏彩绘本21帧,佚名,清代,,否
女,645496f2-4070-11ed-9adc-c934f75048ef,苗族瑶族生活全景图册45帧,佚名,清代,,否
女,64555c2c-4070-11ed-9adc-c934f75048ef,苗族瑶族生活全景图册45帧,佚名,清代,,否
女,64578dbc-4070-11ed-9adc-c934f75048ef,线描各类船只家具杂耍人物巨幅图册,佚名,清代,,否
女,6458efea-4070-11ed-9adc-c934f75048ef,线描各类船只家具杂耍人物巨幅图册,佚名,清代,,否
女,6461f52c-4070-11ed-9adc-c934f75048ef,顾绣五十三参图册.清初绣制,佚名,清代,故宫博物院,否
